CH130	OptDecentr_0.5	42	2	10	=	178	1546+908+=	2455	99	0+0+=	0
CH130	OptDecentr_0.5	43	2	10	=	146	1230+1177+=	2408	99	0+0+=	0
CH130	OptDecentr_0.5	44	2	10	=	218	1690+1016+=	2707	99	0+0+=	0
CH130	OptDecentr_0.5	45	2	10	=	279	928+1181+=	2109	99	0+0+=	0
CH130	OptDecentr_0.5	46	2	10	=	227	1162+841+=	2004	99	0+0+=	0
CH130	OptDecentr_0.5	47	2	10	=	146	1236+1149+=	2385	99	0+0+=	0
CH130	OptDecentr_0.5	48	2	10	=	209	1062+1228+=	2291	99	0+0+=	0
CH130	OptDecentr_0.5	49	2	10	=	297	1455+1179+=	2634	99	0+0+=	0
CH130	OptDecentr_0.5	50	2	10	=	233	1030+1446+=	2476	99	0+0+=	0
CH130	OptDecentr_0.5	51	2	10	=	163	1736+891+=	2628	99	0+0+=	0
CH130	OptDecentr_0.5	52	2	10	=	130	923+1724+=	2648	99	0+0+=	0
CH130	OptDecentr_0.5	53	2	10	=	134	1230+1277+=	2508	99	0+0+=	0
CH130	OptDecentr_0.5	54	2	10	=	167	1714+940+=	2654	99	0+0+=	0
CH130	OptDecentr_0.5	55	2	10	=	281	2010+930+=	2941	99	0+0+=	0
CH130	OptDecentr_0.5	56	2	10	=	554	1822+1205+=	3028	99	0+0+=	0
CH130	OptDecentr_0.5	57	2	10	=	234	1511+1041+=	2552	99	0+0+=	0
CH130	OptDecentr_0.5	58	2	10	=	176	1055+1322+=	2378	99	0+0+=	0
CH130	OptDecentr_0.5	59	2	10	=	218	1790+1216+=	3007	99	0+0+=	0
CH130	OptDecentr_0.5	60	2	10	=	202	1592+930+=	2523	99	0+0+=	0
CH130	OptDecentr_0.5	61	2	10	=	324	1802+793+=	2596	99	0+0+=	0
CH130	OptDecentr_0.5	62	2	10	=	186	1253+1099+=	2353	99	0+0+=	0
CH130	OptDecentr_0.5	63	2	10	=	166	1949+1073+=	3022	99	0+0+=	0
CH130	OptDecentr_0.5	64	2	10	=	336	1875+1120+=	2995	99	0+0+=	0
CH130	OptDecentr_0.5	65	2	10	=	207	2196+925+=	3121	99	0+0+=	0
CH130	OptDecentr_0.5	66	2	10	=	165	1114+1429+=	2543	99	0+0+=	0
CH130	OptDecentr_0.5	67	2	10	=	112	1624+903+=	2527	99	0+0+=	0
CH130	OptDecentr_0.5	68	2	10	=	198	2093+879+=	2972	99	0+0+=	0
CH130	OptDecentr_0.5	69	2	10	=	730	1309+1573+=	2883	99	0+0+=	0
CH130	OptDecentr_0.5	70	2	10	=	723	1565+1346+=	2911	99	0+0+=	0
CH130	OptDecentr_0.5	71	2	10	=	262	824+1487+=	2312	99	0+0+=	0
CH130	OptDecentr_0.5	72	2	10	=	234	1734+881+=	2615	99	0+0+=	0
CH130	OptDecentr_0.5	73	2	10	=	222	1911+751+=	2662	99	0+0+=	0
CH130	OptDecentr_0.5	74	2	10	=	115	1613+1145+=	2759	99	0+0+=	0
CH130	OptDecentr_0.5	75	2	10	=	258	1969+1027+=	2997	99	0+0+=	0
CH130	OptDecentr_0.5	76	2	10	=	192	1829+875+=	2705	99	0+0+=	0
CH130	OptDecentr_0.5	77	2	10	=	222	1778+1097+=	2875	99	0+0+=	0
CH130	OptDecentr_0.5	78	2	10	=	153	1748+1088+=	2837	99	0+0+=	0
CH130	OptDecentr_0.5	79	2	10	=	164	1186+1443+=	2630	99	0+0+=	0
CH130	OptDecentr_0.5	80	2	10	=	237	1509+1138+=	2648	99	0+0+=	0
CH130	OptDecentr_0.5	81	2	10	=	187	1744+1011+=	2755	99	0+0+=	0
CH130	OptDecentr_0.5	82	2	10	=	191	1861+717+=	2579	99	0+0+=	0
CH130	OptDecentr_0.5	83	2	10	=	257	1625+1010+=	2636	99	0+0+=	0
